road,id,model_type,condition,name,lat,lon,length
N1,1000516,link,,Km post missing,22.8575556,91.5456386,246.99999999998568
N1,1000517,bridge,A,MAMAFOUN ASTANA CULVERT,22.8560565672727,91.5457188709091,1.5
N1,1000518,link,,Box culvert,22.856,91.5457219,164.99999999999204
N1,1000519,bridge,A,MAMAFAKIR ASTANA SLAB CULVERT,22.8551475327433,91.5458221849557,1.5
N1,1000520,link,,Box culvert,22.8550556,91.545833,113.00000000002797
N1,1000521,link,,Km post missing,22.8486663,91.5463608,721.99999999998
N1,1000522,bridge,A,MASTANNAGOR BONCUL(1),22.8486172764705,91.5463706117647,8.5
N1,1000523,link,,Bridge start,22.8485274,91.5463886,16.999999999995907
N1,1000524,link,,Bridge end,22.8484441,91.5464163,10.000000000019327
N1,1000525,bridge,A,MUSTAU NOGAR(2),22.8453914894736,91.5474689210526,3.0
N1,1000526,link,,Box culvert,22.8452219,91.5475274,379.99999999999545
N1,1000527,bridge,A,MASTARI HAGOR 3 CULVERT,22.8434551375,91.54814955625,1.5
N1,1000528,link,,Box culvert,22.8432497,91.5482219,240.0000000000091
N1,1000529,bridge,A,MUSTAN NAGAR -4,22.8410943334277,91.5488096951841,3.0
N1,1000530,link,,Km post missing,22.8401941,91.5490552,352.9999999999802
N1,1000531,link,,Pipe culvert,22.8372497,91.5492497,313.99999999999295
N1,1000532,bridge,A,RAIPUR BOX CUL-1,22.8327467692419,91.5501035014577,3.0
N1,1000533,link,,Km post missing,22.8313882,91.5503611,686.000000000007
N1,1000534,bridge,A,RAIPUR (2) BOX CULVERT,22.8309613422018,91.5505028545871,4.5
N1,1000535,bridge,C,PURPU DURGAPURE BOX CUL,22.8243706577981,91.5526915454128,12.4
N1,1000536,link,,Box culvert,22.8239438,91.5528333,872.0000000000141
N1,1000537,link,,Km post missing,22.8228049,91.5531389,127.9999999999859
N1,1000538,link,,Km post missing,22.8141389,91.5555833,1000.0
N1,1000539,bridge,B,MUCHIPOOL CULVERT,22.811563437647,91.5562562129411,9.5
N1,1000540,link,,Box culvert,22.8110556,91.5563889,340.0000000000034
N1,1000541,link,,Box culvert,22.808,91.5579167,406.0000000000059
N1,1000542,link,,Box culvert,22.8059722,91.5589167,252.00000000000955
N1,1000543,link,,Km post missing,22.8059444,91.5589167,1.999999999981128
N1,1000544,link,,Box culvert,22.8045833,91.5591111,155.00000000000114
N1,1000545,link,,Km post missing,22.7974719,91.5613611,844.9999999999989
N1,1000546,bridge,A,MIRSARAI BOX CUL,22.7941813523326,91.5629612622718,4.5
N1,1000547,link,,Box Culvert,22.7934163,91.5633333,492.999999999995
N1,1000548,link,,Box culvert,22.7896108,91.5654444,472.0000000000084
N1,1000549,link,,Km post missing,22.7893608,91.5655833,34.99999999999659
N1,1000550,bridge,B,MIRAISORI BRIDGE,22.7821968918511,91.5691025661971,23.2
N1,1000551,link,,Bridge start,22.7813327,91.5695271,993.9999999999998
N1,1000552,link,,Km post missing,22.7812216,91.5695827,6.000000000000227
N1,1000553,link,,Bridge end,22.7811382,91.5696382,15.00000000001478
N1,1000554,link,,Road to Narayanhat (Z1021),22.7771104,91.5713327,485.99999999999
N1,1000555,bridge,A,Mirsorai(2) box culvert,22.774197092,91.5728737519999,6.0
N1,1000556,link,,Box culvert,22.7732771,91.5733604,474.9999999999943
N1,1000557,link,,Km post missing,22.7730271,91.5734716,24.00000000000091
N1,1000558,bridge,A,IANAINIPOL BOX CULVERT.,22.770251666098,91.5750905211087,9.7
N1,1000559,link,,Box culvert,22.7693604,91.5756104,468.9999999999941
N1,1000560,link,,Box culvert,22.7661944,91.5779993,2.0000000000095497
N1,1000561,link,,Km post missing,22.7654722,91.5785549,528.9999999999964
N1,1000562,bridge,A,BOKIMTOLA BOX CULVERT,22.7630626913907,91.5804538821192,4.0
N1,1000563,link,,Box culvert,22.7621944,91.5811382,453.00000000000296
N1,1000564,link,,Km post missing,22.7585278,91.5845274,546.999999999997
N1,1000565,bridge,A,VARTAKA BOX CULVERT,22.7535653245121,91.5886004236585,12.9
N1,1000566,link,,Bridge start,22.7526389,91.5893608,819.9999999999932
N1,1000567,link,,Bridge end,22.7525,91.5894719,23.000000000024556
