road,id,model_type,condition,name,lat,lon,length
N1,335,intersection,,Intersection with N104 / Km post missing,23.0095278,91.3814438,1.0
N1,342,intersection,,Road to Sonagazi (Z1034),22.985833,91.412,1.0
N1,1000471,bridge,C,Lemua Bridge(L),22.9614487369369,91.4429962027027,98.87
N1,1000482,bridge,B,MUHURI BRIDGE,22.9496126090047,91.502066899526,191.5
N1,371,intersection,,Road to Karerhat (R151),22.8940552,91.5346941,1.0
N1,1000535,bridge,C,PURPU DURGAPURE BOX CUL,22.8243706577981,91.5526915454128,12.4
N1,1000539,bridge,B,MUCHIPOOL CULVERT,22.811563437647,91.5562562129411,9.5
N1,1000550,bridge,B,MIRAISORI BRIDGE,22.7821968918511,91.5691025661971,23.2
N1,1000552,link,,Km post missing,22.7812216,91.5695827,6.000000000000227
N1,1000571,bridge,B,BOTHAGIA (-3) BOX CULVERT,22.7445136523437,91.5943998915364,8.1
N1,1000582,link,,Box culvert,22.7165556,91.6065556,260.0000000000193
N1,1000584,link,,"Ctg 52 km,Sitakhada 12 km",22.7143889,91.6079444,215.0000000000034
N1,1000585,bridge,C,ISAMATI BOX CULVERT,22.7138727382812,91.6082352218749,19.2
N1,1000588,link,,Km post missing,22.7065556,91.6123611,137.00000000000045
N1,1000601,link,,Box culvert,22.6769438,91.6268327,669.9999999999875
N1,1000609,link,,Box culvert,22.6638333,91.6321382,137.9999999999768
N1,1000612,link,,Km post missing,22.6571389,91.636333,322.00000000000273
N1,1000629,bridge,B,UTTOR SITAKONDO BAZAR BOX CULVERT,22.6258323373493,91.6541857554217,6.1
N1,1000630,link,,Km post missing,22.6252216,91.6545278,82.99999999999841
N1,1000646,bridge,B,KALIAVA BOX CULVERT,22.6023506949579,91.6683367336134,4.5
N1,1000651,bridge,B,SKM BOX CULVERT(1),22.5971665766519,91.671819207489,9.3
N1,1000656,bridge,C,BAROCONDO BRIDGE,22.5870350167767,91.6770444686922,22.25
N1,1000659,link,,Bridge end,22.5834997,91.6785827,26.00000000001046
N1,1000676,bridge,B,BARSH BARIA BRIDGE,22.5543319776357,91.6887963149094,21.6
N1,1000689,bridge,B,KYSTELGATE ARCH,22.5229359167189,91.7038366163009,16.3
N1,1000708,link,,Bridge start,22.4969163,91.7155556,685.0000000000023
N1,1000711,bridge,B,GORA MARI BOX CULVERT,22.4904405976324,91.7182726733934,3.0
N1,1000714,link,,Ctg 24 km,22.4854163,91.7195549,174.0000000000066
N1,1000716,bridge,B,MUDDO SONAISORI BRIDGE,22.4811642144766,91.7203633632516,23.2
N1,1000719,link,,Info.Missing,22.4765271,91.7213327,88.99999999999864
N1,1000723,bridge,B,SHLAKHAR PAD BRIDGE,22.4624386352,91.7285307,23.2
N1,1000724,link,,Km post missing,22.4603056,91.7295827,1000.0
N1,1000729,bridge,C,SALAKHARPAD BRIDGE,22.4460793332411,91.7353674287057,26.3
N1,1000736,link,,Box culvert,22.4333049,91.7403608,137.00000000000045
N1,1000740,bridge,B,DHAMAKHALI BRIDGE,22.4220415536,91.7480209792,35.1
N1,1000760,link,,Km post missing,22.3861663,91.7618333,313.99999999999295
N1,1000774,bridge,C,BOALIA BOX CULVERT,22.3599057425992,91.8522694918171,4.65
N1,1000775,link,,Km post missing,22.3561111,91.8531667,830.9999999999889
N1,1000782,bridge,B,HAFAS BAGAR BRIDGE,22.3395393508599,91.8533871579852,38.4
N1,1000788,bridge,B,RAZAKATI BRIDGE,22.3357673216494,91.8538536927835,39.4
N1,1000794,link,,Bridge end,22.3212771,91.8536111,177.99999999999727
N1,1000796,link,,Bridge end,22.3152222,91.8553333,15.999999999991132
N1,1000803,bridge,C,SHIKALBAHA,22.306457756,91.860449028,15.2
N1,1000807,bridge,B,SHIKALBAHA BOX CULVERT,22.3002851293515,91.8652980307167,5.7
N1,1000825,bridge,B,SHANTERHAT CULVERT,22.2988369230769,91.8873512822898,3.0
N1,1000828,link,,Box culvert,22.3015833,91.897333,173.00000000000182
N1,1000829,bridge,B,SHANTERHAT BOX CULVERT,22.3021025781938,91.8992582823788,3.1
N1,1000855,bridge,B,Patiya Bridge,22.3006016043999,91.9658457726,50.3
N1,631,intersection,,Road to Anowara (R170),22.291833,91.9823327,1.0
N1,1000868,bridge,B,Srimi Bridge,22.2859320161666,91.992309198,61.0
N1,1000871,bridge,B,KOMOLMUNSHE HAT BOX CULVERT,22.2811424692972,91.9995571696216,14.0
N1,1000879,bridge,B,Korna Bridge,22.2611613745967,92.0073035838709,15.2
N1,1000881,bridge,C,AJIMPUR CUL,22.2590515857142,92.0081111238095,9.8
N1,1000887,link,,Km post missing,22.2517222,92.0133333,329.00000000000773
N1,1000898,bridge,B,Kanchon Nagar Bridge,22.2314978226851,92.0249656611111,12.7
N1,1000900,link,,Bridge start,22.2278882,92.025916,12.000000000000455
N1,1000902,bridge,B,NORTH JOARA PAKKAR DOKAN,22.2260608528604,92.0264650356979,9.4
N1,1000912,bridge,C,MAZAR POINT BRIDGE,22.2071026538461,92.03633246993,50.4
N1,1000916,bridge,B,KHOLGHAR CUL,22.2049837597806,92.0383312340036,9.2
N1,1000917,link,,Info.Missing,22.1977774,92.0433886,1093.999999999994
N1,1000922,bridge,B,NOYARHAT,22.1739178955307,92.0532925435754,12.3
N1,1000927,bridge,B,Sangu Bridge,22.1586272806451,92.0682063096774,211.0
N1,1000930,link,,Bridge start,22.1509722,92.0696938,663.9999999999873
N1,1000953,link,,Box culvert,22.1133056,92.0726938,282.0000000000391
N1,1001040,link,,Box culvert,21.967666,92.0635,564.0000000000214
N1,1001048,link,,Km post missing,21.9578333,92.0665833,351.99999999997544
N1,1001053,link,,Info.Missing,21.9489441,92.0675271,302.99999999999727
N1,1001058,link,,Box culvert,21.9354441,92.0623056,615.0000000000091
N1,1001081,link,,Box culvert,21.8908886,92.0596667,661.0000000000014
N1,1001087,link,,Box culvert,21.874916,92.0591111,508.0000000000382
N1,1001091,link,,Km post missing,21.8616389,92.0596111,93.00000000001774
N1,1001097,link,,Box culvert,21.8526111,92.0609722,21.000000000015007
N1,1001102,link,,Box culvert,21.842583,92.0638611,213.00000000002228
N1,1001107,link,,Box culvert,21.8336663,92.0684438,313.99999999996453
N1,1001131,bridge,B,NOLBELA BOX CULVERT,21.7841953311111,92.0792425355555,14.2
N1,1001136,link,,Intersection with Z1126,21.7737216,92.0840552,195.00000000005002
N1,1001139,bridge,C,MATHAMUHURI BRIDGE,21.7715943354948,92.0821099546075,300.0
N1,1001148,bridge,B,BANDI BAZAR BOX CULVERT,21.7401466184971,92.0826243745664,9.3
N1,1001149,link,,Box culvert,21.7392497,92.0828604,865.0000000000091
N1,836,intersection,,Road to Alikadam(Z1005),21.7215271,92.0830827,1.0
N1,1001166,link,,Box culvert,21.7080278,92.0800549,526.9999999999868
N1,1001170,link,,Cox's Bazar 50km,21.6957497,92.0805827,697.9999999999791
N1,1001187,bridge,C,BOYRAGIR KHIL,21.6508560658227,92.0735619202531,61.0
N1,1001194,link,,"Cox,s Bazar 43 km",21.634833,92.0770271,1017.9999999999723
N1,1001196,bridge,B,KHUTAKHALI,21.6225351880109,92.0737034768392,1.45
N1,1001202,link,,"Z1131, Kutakhali-Maheshkhali",21.6150556,92.0667771,58.99999999996908
N1,1001205,link,,Box culvert,21.6073056,92.0624167,179.99999999994998
N1,1001214,link,,Box culvert,21.59379884019608,92.06161870980392,81.99999999999363
N1,1001217,bridge,C,NAPITE KHALI,21.5876028,92.0649047857142,4.5
N1,1001218,link,,"Cox,s Bazar 37 km",21.5875274,92.0650278,503.99999999996226
N1,1001220,link,,Box culvert,21.584833,92.0652222,168.00000000000637
N1,1001223,link,,Box culvert,21.5769993,92.0697216,129.0000000000191
N1,1001226,link,,Box Culvert,21.564,92.0702493,694.0000000000168
N1,1001230,link,,Box Culvert,21.5608333,92.0692771,120.9999999999809
N1,1001235,link,,Bridge start,21.5553056,92.067916,195.99999999996953
N1,1001237,link,,Bridge start,21.5484719,92.0670827,423.0000000000018
N1,1001238,link,,Bridge end,21.548083,92.0670271,45.99999999999227
N1,1001242,link,,Cox.s Bazar 30 km,21.5294993,92.0650278,1016.0000000000196
N1,1001244,link,,Box culvert,21.5264716,92.0651944,212.00000000004593
N1,1001262,link,,Cox's Bazar 27km,21.505,92.0745549,283.9999999999918
N1,1001263,link,,Box culvert,21.4974719,92.0765549,911.0000000000014
N1,1001264,link,,Cox's Bazar 26km,21.4968608,92.0769438,88.99999999999864
N1,1001265,link,,Box culvert,21.4964441,92.077166,48.00000000000182
N1,1001268,link,,"Cox,s Bazar 25 km",21.4901941,92.0818049,904.9999999999727
N1,1001269,link,,"Cox,s Bazar 24 km",21.4870274,92.0898052,985.99999999999
N1,1001270,link,,Box culvert,21.4851386,92.091333,274.0000000000009
N1,1001271,link,,Cox.s Bazar 23 km,21.4793604,92.0938886,700.0000000000455
N1,1001273,link,,Box culvert,21.4767771,92.0957497,357.99999999994725
N1,1001275,link,,Box culvert,21.4750549,92.0971663,250.0
N1,1001277,link,,"Cox,s Bazar 22 km",21.4713604,92.0997497,522.0000000000482
N1,1001278,link,,Bridge start,21.4712216,92.0998886,20.999999999958163
N1,1001279,link,,Bridge end,21.4708049,92.1002222,59.00000000002592
N1,1001281,link,,Box culvert,21.4667216,92.1025,533.9999999999918
N1,1001282,bridge,B,JOARIANALA CULVERT,21.4655415307901,92.1026566882833,14.0
N1,1001283,link,,"Cox,s Bazar 21 km",21.4635833,92.1029167,367.00000000001864
N1,1001284,link,,"Cox,s Bazar 20 km",21.4564722,92.1038056,968.9999999999941
N1,1001285,link,,Box culvert,21.4545,92.10075,379.99999999999545
